,ID,instrument,granularity,timestamp,volume,open,high,low,close,complete,dateYYYMMDD,timeHHMMSS,year,month,day,hour,minute,second
525,EUR_USD|H1|20180926|010000,EUR_USD,H1,2018-09-26 01:00:00,1482,1.17580,1.17647,1.17574,1.17639,True,20180926,010000,2018,09,26,01,00,00
526,EUR_USD|H1|20180926|020000,EUR_USD,H1,2018-09-26 02:00:00,786,1.17639,1.17673,1.17615,1.17651,True,20180926,020000,2018,09,26,02,00,00
527,EUR_USD|H1|20180926|030000,EUR_USD,H1,2018-09-26 03:00:00,814,1.17651,1.17678,1.17630,1.17671,True,20180926,030000,2018,09,26,03,00,00
528,EUR_USD|H1|20180926|040000,EUR_USD,H1,2018-09-26 04:00:00,641,1.17671,1.17686,1.17638,1.17640,True,20180926,040000,2018,09,26,04,00,00
529,EUR_USD|H1|20180926|050000,EUR_USD,H1,2018-09-26 05:00:00,685,1.17640,1.17664,1.17606,1.17613,True,20180926,050000,2018,09,26,05,00,00
530,EUR_USD|H1|20180926|060000,EUR_USD,H1,2018-09-26 06:00:00,1779,1.17613,1.17693,1.17585,1.17620,True,20180926,060000,2018,09,26,06,00,00
531,EUR_USD|H1|20180926|070000,EUR_USD,H1,2018-09-26 07:00:00,2598,1.17620,1.17766,1.17584,1.17678,True,20180926,070000,2018,09,26,07,00,00
532,EUR_USD|H1|20180926|080000,EUR_USD,H1,2018-09-26 08:00:00,1918,1.17678,1.17757,1.17660,1.17680,True,20180926,080000,2018,09,26,08,00,00
533,EUR_USD|H1|20180926|090000,EUR_USD,H1,2018-09-26 09:00:00,2035,1.17680,1.17707,1.17635,1.17659,True,20180926,090000,2018,09,26,09,00,00
534,EUR_USD|H1|20180926|100000,EUR_USD,H1,2018-09-26 10:00:00,2123,1.17659,1.17659,1.17467,1.17502,True,20180926,100000,2018,09,26,10,00,00
535,EUR_USD|H1|20180926|110000,EUR_USD,H1,2018-09-26 11:00:00,2825,1.17502,1.17512,1.17360,1.17375,True,20180926,110000,2018,09,26,11,00,00
536,EUR_USD|H1|20180926|120000,EUR_USD,H1,2018-09-26 12:00:00,2165,1.17375,1.17440,1.17309,1.17412,True,20180926,120000,2018,09,26,12,00,00
537,EUR_USD|H1|20180926|130000,EUR_USD,H1,2018-09-26 13:00:00,1914,1.17412,1.17417,1.17265,1.17349,True,20180926,130000,2018,09,26,13,00,00
538,EUR_USD|H1|20180926|140000,EUR_USD,H1,2018-09-26 14:00:00,2930,1.17349,1.17533,1.17320,1.17493,True,20180926,140000,2018,09,26,14,00,00
539,EUR_USD|H1|20180926|150000,EUR_USD,H1,2018-09-26 15:00:00,2161,1.17493,1.17583,1.17450,1.17575,True,20180926,150000,2018,09,26,15,00,00
540,EUR_USD|H1|20180926|160000,EUR_USD,H1,2018-09-26 16:00:00,1587,1.17575,1.17585,1.17453,1.17524,True,20180926,160000,2018,09,26,16,00,00
541,EUR_USD|H1|20180926|170000,EUR_USD,H1,2018-09-26 17:00:00,2348,1.17524,1.17701,1.17524,1.17687,True,20180926,170000,2018,09,26,17,00,00
542,EUR_USD|H1|20180926|180000,EUR_USD,H1,2018-09-26 18:00:00,17004,1.17687,1.17984,1.17322,1.17608,True,20180926,180000,2018,09,26,18,00,00
543,EUR_USD|H1|20180926|190000,EUR_USD,H1,2018-09-26 19:00:00,5785,1.17608,1.17725,1.17464,1.17475,True,20180926,190000,2018,09,26,19,00,00
544,EUR_USD|H1|20180926|200000,EUR_USD,H1,2018-09-26 20:00:00,1281,1.17475,1.17494,1.17371,1.17428,True,20180926,200000,2018,09,26,20,00,00
545,EUR_USD|H1|20180926|210000,EUR_USD,H1,2018-09-26 21:00:00,647,1.17428,1.17553,1.17408,1.17441,True,20180926,210000,2018,09,26,21,00,00
546,EUR_USD|H1|20180926|220000,EUR_USD,H1,2018-09-26 22:00:00,652,1.17441,1.17525,1.17431,1.17497,True,20180926,220000,2018,09,26,22,00,00
547,EUR_USD|H1|20180926|230000,EUR_USD,H1,2018-09-26 23:00:00,335,1.17497,1.17524,1.17479,1.17479,True,20180926,230000,2018,09,26,23,00,00
548,EUR_USD|H1|20180927|000000,EUR_USD,H1,2018-09-27 00:00:00,1141,1.17479,1.17580,1.17469,1.17550,True,20180927,000000,2018,09,27,00,00,00
549,EUR_USD|H1|20180927|010000,EUR_USD,H1,2018-09-27 01:00:00,1282,1.17550,1.17564,1.17409,1.17430,True,20180927,010000,2018,09,27,01,00,00
550,EUR_USD|H1|20180927|020000,EUR_USD,H1,2018-09-27 02:00:00,902,1.17430,1.17495,1.17417,1.17468,True,20180927,020000,2018,09,27,02,00,00
551,EUR_USD|H1|20180927|030000,EUR_USD,H1,2018-09-27 03:00:00,891,1.17468,1.17537,1.17468,1.17514,True,20180927,030000,2018,09,27,03,00,00
552,EUR_USD|H1|20180927|040000,EUR_USD,H1,2018-09-27 04:00:00,554,1.17514,1.17532,1.17461,1.17501,True,20180927,040000,2018,09,27,04,00,00
553,EUR_USD|H1|20180927|050000,EUR_USD,H1,2018-09-27 05:00:00,5762,1.17501,1.17521,1.16919,1.17044,True,20180927,050000,2018,09,27,05,00,00
554,EUR_USD|H1|20180927|060000,EUR_USD,H1,2018-09-27 06:00:00,4709,1.17044,1.17122,1.16929,1.17073,True,20180927,060000,2018,09,27,06,00,00
555,EUR_USD|H1|20180927|070000,EUR_USD,H1,2018-09-27 07:00:00,8097,1.17073,1.17175,1.16857,1.17034,True,20180927,070000,2018,09,27,07,00,00
556,EUR_USD|H1|20180927|080000,EUR_USD,H1,2018-09-27 08:00:00,3958,1.17034,1.17186,1.17004,1.17124,True,20180927,080000,2018,09,27,08,00,00
557,EUR_USD|H1|20180927|090000,EUR_USD,H1,2018-09-27 09:00:00,3120,1.17124,1.17209,1.17035,1.17062,True,20180927,090000,2018,09,27,09,00,00
558,EUR_USD|H1|20180927|100000,EUR_USD,H1,2018-09-27 10:00:00,2935,1.17062,1.17209,1.17036,1.17203,True,20180927,100000,2018,09,27,10,00,00
559,EUR_USD|H1|20180927|110000,EUR_USD,H1,2018-09-27 11:00:00,2696,1.17203,1.17203,1.17001,1.17046,True,20180927,110000,2018,09,27,11,00,00
560,EUR_USD|H1|20180927|120000,EUR_USD,H1,2018-09-27 12:00:00,4861,1.17046,1.17133,1.16737,1.16756,True,20180927,120000,2018,09,27,12,00,00
561,EUR_USD|H1|20180927|130000,EUR_USD,H1,2018-09-27 13:00:00,2894,1.16756,1.16859,1.16713,1.16834,True,20180927,130000,2018,09,27,13,00,00
562,EUR_USD|H1|20180927|140000,EUR_USD,H1,2018-09-27 14:00:00,3723,1.16834,1.16970,1.16750,1.16763,True,20180927,140000,2018,09,27,14,00,00
563,EUR_USD|H1|20180927|150000,EUR_USD,H1,2018-09-27 15:00:00,3201,1.16763,1.16789,1.16639,1.16705,True,20180927,150000,2018,09,27,15,00,00
564,EUR_USD|H1|20180927|160000,EUR_USD,H1,2018-09-27 16:00:00,2204,1.16705,1.16855,1.16702,1.16737,True,20180927,160000,2018,09,27,16,00,00
565,EUR_USD|H1|20180927|170000,EUR_USD,H1,2018-09-27 17:00:00,1819,1.16737,1.16739,1.16618,1.16658,True,20180927,170000,2018,09,27,17,00,00
566,EUR_USD|H1|20180927|180000,EUR_USD,H1,2018-09-27 18:00:00,1609,1.16658,1.16667,1.16543,1.16588,True,20180927,180000,2018,09,27,18,00,00
567,EUR_USD|H1|20180927|190000,EUR_USD,H1,2018-09-27 19:00:00,2292,1.16588,1.16632,1.16429,1.16503,True,20180927,190000,2018,09,27,19,00,00
568,EUR_USD|H1|20180927|200000,EUR_USD,H1,2018-09-27 20:00:00,742,1.16503,1.16528,1.16398,1.16420,True,20180927,200000,2018,09,27,20,00,00
569,EUR_USD|H1|20180927|210000,EUR_USD,H1,2018-09-27 21:00:00,393,1.16420,1.16439,1.16394,1.16403,True,20180927,210000,2018,09,27,21,00,00
570,EUR_USD|H1|20180927|220000,EUR_USD,H1,2018-09-27 22:00:00,1269,1.16403,1.16430,1.16344,1.16359,True,20180927,220000,2018,09,27,22,00,00
571,EUR_USD|H1|20180927|230000,EUR_USD,H1,2018-09-27 23:00:00,413,1.16359,1.16378,1.16337,1.16371,True,20180927,230000,2018,09,27,23,00,00
572,EUR_USD|H1|20180928|000000,EUR_USD,H1,2018-09-28 00:00:00,1074,1.16371,1.16446,1.16363,1.16430,True,20180928,000000,2018,09,28,00,00,00
573,EUR_USD|H1|20180928|010000,EUR_USD,H1,2018-09-28 01:00:00,1223,1.16430,1.16467,1.16405,1.16437,True,20180928,010000,2018,09,28,01,00,00
574,EUR_USD|H1|20180928|020000,EUR_USD,H1,2018-09-28 02:00:00,638,1.16437,1.16488,1.16431,1.16484,True,20180928,020000,2018,09,28,02,00,00
575,EUR_USD|H1|20180928|030000,EUR_USD,H1,2018-09-28 03:00:00,583,1.16484,1.16500,1.16456,1.16485,True,20180928,030000,2018,09,28,03,00,00
576,EUR_USD|H1|20180928|040000,EUR_USD,H1,2018-09-28 04:00:00,738,1.16485,1.16500,1.16385,1.16447,True,20180928,040000,2018,09,28,04,00,00
577,EUR_USD|H1|20180928|050000,EUR_USD,H1,2018-09-28 05:00:00,634,1.16447,1.16521,1.16419,1.16496,True,20180928,050000,2018,09,28,05,00,00
578,EUR_USD|H1|20180928|060000,EUR_USD,H1,2018-09-28 06:00:00,3656,1.16496,1.16520,1.16241,1.16265,True,20180928,060000,2018,09,28,06,00,00
579,EUR_USD|H1|20180928|070000,EUR_USD,H1,2018-09-28 07:00:00,3701,1.16265,1.16292,1.16152,1.16193,True,20180928,070000,2018,09,28,07,00,00
580,EUR_USD|H1|20180928|080000,EUR_USD,H1,2018-09-28 08:00:00,3736,1.16193,1.16321,1.16120,1.16156,True,20180928,080000,2018,09,28,08,00,00
581,EUR_USD|H1|20180928|090000,EUR_USD,H1,2018-09-28 09:00:00,4380,1.16156,1.16178,1.15952,1.15964,True,20180928,090000,2018,09,28,09,00,00
582,EUR_USD|H1|20180928|100000,EUR_USD,H1,2018-09-28 10:00:00,3752,1.15964,1.15974,1.15810,1.15812,True,20180928,100000,2018,09,28,10,00,00
583,EUR_USD|H1|20180928|110000,EUR_USD,H1,2018-09-28 11:00:00,2657,1.15812,1.15851,1.15704,1.15835,True,20180928,110000,2018,09,28,11,00,00
584,EUR_USD|H1|20180928|120000,EUR_USD,H1,2018-09-28 12:00:00,3718,1.15835,1.15879,1.15726,1.15852,True,20180928,120000,2018,09,28,12,00,00
585,EUR_USD|H1|20180928|130000,EUR_USD,H1,2018-09-28 13:00:00,3453,1.15852,1.15942,1.15732,1.15811,True,20180928,130000,2018,09,28,13,00,00
586,EUR_USD|H1|20180928|140000,EUR_USD,H1,2018-09-28 14:00:00,4437,1.15811,1.16180,1.15797,1.16146,True,20180928,140000,2018,09,28,14,00,00
587,EUR_USD|H1|20180928|150000,EUR_USD,H1,2018-09-28 15:00:00,3889,1.16146,1.16303,1.16129,1.16223,True,20180928,150000,2018,09,28,15,00,00
588,EUR_USD|H1|20180928|160000,EUR_USD,H1,2018-09-28 16:00:00,1495,1.16223,1.16262,1.16096,1.16144,True,20180928,160000,2018,09,28,16,00,00
589,EUR_USD|H1|20180928|170000,EUR_USD,H1,2018-09-28 17:00:00,974,1.16144,1.16187,1.16101,1.16139,True,20180928,170000,2018,09,28,17,00,00
590,EUR_USD|H1|20180928|180000,EUR_USD,H1,2018-09-28 18:00:00,1154,1.16139,1.16175,1.16072,1.16104,True,20180928,180000,2018,09,28,18,00,00
591,EUR_USD|H1|20180928|190000,EUR_USD,H1,2018-09-28 19:00:00,1098,1.16104,1.16148,1.16070,1.16103,True,20180928,190000,2018,09,28,19,00,00
592,EUR_USD|H1|20180928|200000,EUR_USD,H1,2018-09-28 20:00:00,1468,1.16103,1.16133,1.16028,1.16057,True,20180928,200000,2018,09,28,20,00,00
593,EUR_USD|H1|20180930|210000,EUR_USD,H1,2018-09-30 21:00:00,568,1.16057,1.16208,1.16057,1.16122,True,20180930,210000,2018,09,30,21,00,00
594,EUR_USD|H1|20180930|220000,EUR_USD,H1,2018-09-30 22:00:00,733,1.16122,1.16136,1.16052,1.16058,True,20180930,220000,2018,09,30,22,00,00
595,EUR_USD|H1|20180930|230000,EUR_USD,H1,2018-09-30 23:00:00,519,1.16058,1.16096,1.16039,1.16060,True,20180930,230000,2018,09,30,23,00,00
596,EUR_USD|H1|20181001|000000,EUR_USD,H1,2018-10-01 00:00:00,767,1.16060,1.16113,1.16052,1.16073,True,20181001,000000,2018,10,01,00,00,00
